Frecuencia, Magnitud
0.000000000000000000e+00,6.501728805442023862e-02
8.277554625993176901e-03,3.886328491178188058e-03
1.655510925198635380e-02,2.135956285002657811e-03
2.483266387797953417e-02,5.970259064660131962e-04
3.311021850397270760e-02,1.377347096967950987e-04
4.138777312996588104e-02,6.472557959980905842e-04
4.966532775595906835e-02,1.144224470938018942e-03
5.794288238195224178e-02,3.308590977297752524e-04
6.622043700794541521e-02,1.389693468444706424e-03
7.449799163393859558e-02,9.362261901299529778e-04
8.277554625993176207e-02,8.650047560237626373e-04
9.105310088592495632e-02,1.290797922561306207e-03
9.933065551191813669e-02,8.478688952532261467e-04
1.076082101379113032e-01,5.329282747849245277e-04
1.158857647639044836e-01,1.073969912650099079e-03
1.241633193898976500e-01,7.984075905620893580e-04
1.324408740158908304e-01,1.412207435702241172e-03
1.407184286418840247e-01,5.728103741261501847e-04
1.489959832678771912e-01,5.536663469247767424e-04
1.572735378938703854e-01,7.678607067976347261e-04
1.655510925198635241e-01,6.921988695958106045e-04
1.738286471458567184e-01,7.861951992820667093e-04
1.821062017718499126e-01,6.961479502587532373e-04
1.903837563978430791e-01,9.175036015208057815e-04
1.986613110238362734e-01,8.882404814785798720e-04
2.069388656498294399e-01,2.294835821107159648e-04
2.152164202758226064e-01,9.033553250093973247e-04
2.234939749018157729e-01,1.658378291358440261e-03
2.317715295278089671e-01,6.377351336379497243e-04
2.400490841538021336e-01,9.604978038148216050e-04
2.483266387797953001e-01,6.065870396283842446e-04
2.566041934057884943e-01,9.794609236529270690e-04
2.648817480317816608e-01,3.237684386361216679e-04
2.731593026577748273e-01,6.449561207136837553e-04
2.814368572837680493e-01,1.340558515201576437e-03
2.897144119097612158e-01,7.096345501514773283e-04
2.979919665357543823e-01,6.939602596474169329e-04
3.062695211617476043e-01,6.587876521998307965e-04
3.145470757877407708e-01,4.426860193230149456e-04
3.228246304137339373e-01,8.557481628972472658e-04
3.311021850397270483e-01,8.904239524931743897e-04
3.393797396657202703e-01,7.428761496652600644e-04
3.476572942917134368e-01,3.511014955661704413e-04
3.559348489177066033e-01,9.039803688699639536e-04
3.642124035436998253e-01,1.105413920057934539e-03
3.724899581696929918e-01,1.119667189849392905e-03
3.807675127956861583e-01,1.311839779266876695e-03
3.890450674216793248e-01,1.158932666079591327e-03
3.973226220476725468e-01,1.307815486604213887e-03
4.056001766736656577e-01,2.445687588727369580e-03
4.138777312996588797e-01,1.124525866502876963e-03
4.221552859256519907e-01,1.711443051897412141e-03
4.304328405516452127e-01,1.555830808473447928e-03
4.387103951776384347e-01,9.951191144662058664e-04
4.469879498036315457e-01,1.337802845176317302e-03
4.552655044296247677e-01,1.840779866702354052e-03
4.635430590556179342e-01,2.056147428797049440e-03
4.718206136816111007e-01,5.795991965753908171e-04
4.800981683076042672e-01,9.404579867786195483e-04
4.883757229335974892e-01,8.621045112184316664e-04
4.966532775595906002e-01,4.864256709814016987e-04
5.049308321855837667e-01,2.434375783709960550e-04
5.132083868115769887e-01,3.387056636469721921e-04
5.214859414375700997e-01,3.631736444739585754e-04
5.297634960635633217e-01,4.662522179257311793e-04
5.380410506895565437e-01,1.271614584340516199e-03
5.463186053155496547e-01,1.360315584598477227e-03
5.545961599415428767e-01,1.536105576836947848e-03
5.628737145675360987e-01,1.296166558344941100e-03
5.711512691935292096e-01,1.309535454366199522e-03
5.794288238195224316e-01,1.686971159462119019e-04
5.877063784455156537e-01,1.006628527954249626e-03
5.959839330715087646e-01,5.450096988094049267e-04
6.042614876975019866e-01,2.303637282338638452e-03
6.125390423234952086e-01,8.922212620077956758e-04
6.208165969494883196e-01,1.248000473155259742e-03
6.290941515754815416e-01,9.205879320778677420e-04
6.373717062014746526e-01,4.510551098592557634e-04
6.456492608274678746e-01,8.177940279273628391e-04
6.539268154534609856e-01,5.838023733069893978e-04
6.622043700794540966e-01,8.999185464817157677e-04
6.704819247054473186e-01,8.280865724645184020e-04
6.787594793314405406e-01,1.319729782184500663e-04
6.870370339574336516e-01,9.681541796274084751e-04
6.953145885834268736e-01,3.980010845093407551e-04
7.035921432094200956e-01,2.338746419105023743e-03
7.118696978354132066e-01,7.402356296905278051e-04
7.201472524614064286e-01,6.988732912855220988e-04
7.284248070873996506e-01,9.334653148666256870e-04
7.367023617133927615e-01,1.117869566986557164e-03
7.449799163393859835e-01,1.826753823858256976e-03
7.532574709653792056e-01,3.337016519963679150e-04
7.615350255913723165e-01,5.914840220237916214e-04
7.698125802173655385e-01,7.473697632610995121e-04
7.780901348433586495e-01,7.086467230797149778e-04
7.863676894693518715e-01,6.371598106488632384e-04
7.946452440953450935e-01,1.578449994791148705e-04
8.029227987213382045e-01,3.834723013035150601e-04
8.112003533473313155e-01,1.043186298478018326e-03
8.194779079733245375e-01,1.445134853150272913e-03
8.277554625993177595e-01,1.362525913956017269e-03
8.360330172253109815e-01,3.431017107189731556e-04
8.443105718513039815e-01,1.399201668949105997e-04
8.525881264772972035e-01,7.218433485164948591e-04
8.608656811032904255e-01,1.520733225656768902e-03
8.691432357292836475e-01,2.460447917881760445e-04
8.774207903552768695e-01,4.987242881630964434e-04
8.856983449812700915e-01,1.418759059168354583e-03
8.939758996072630914e-01,1.160811058836637042e-03
9.022534542332563134e-01,5.175955004284999968e-04
9.105310088592495354e-01,4.574689029906469284e-04
9.188085634852427575e-01,3.548814488436042983e-04
9.270861181112358684e-01,5.074279671418453069e-04
9.353636727372290904e-01,8.673125786939715059e-04
9.436412273632222014e-01,9.321752535632844491e-04
9.519187819892153124e-01,1.551584484542916590e-03
9.601963366152085344e-01,8.167118749236026640e-04
9.684738912412017564e-01,8.491561405981215777e-04
9.767514458671949784e-01,4.729289966962145573e-04
9.850290004931882004e-01,6.774456024278846392e-04
9.933065551191812004e-01,9.063829681569214505e-04
1.001584109745174533e+00,1.011127936073598745e-03
1.009861664371167533e+00,4.292971376280545486e-04
1.018139218997160755e+00,2.828841472256614148e-04
1.026416773623153977e+00,3.387916257105757080e-04
1.034694328249147199e+00,4.215602670337834004e-04
1.042971882875140199e+00,2.034746993566306143e-04
1.051249437501133421e+00,1.227741894965177346e-03
1.059526992127126643e+00,5.643936736186204667e-04
1.067804546753119865e+00,6.121136270880829164e-04
1.076082101379113087e+00,2.509061948326453645e-04
1.084359656005106087e+00,1.422222409215428149e-03
1.092637210631099309e+00,1.133682315735234621e-03
1.100914765257092531e+00,8.968964235479283918e-05
1.109192319883085753e+00,8.576145421055727039e-04
1.117469874509078975e+00,1.199261147144204450e-03
1.125747429135072197e+00,2.112050381510041305e-03
1.134024983761065197e+00,1.022418442381770737e-03
1.142302538387058419e+00,1.662876571103161054e-03
1.150580093013051641e+00,9.735608583364022215e-04
1.158857647639044863e+00,6.343088647105962980e-04
1.167135202265038085e+00,1.064676202619347376e-03
1.175412756891031307e+00,5.354536723461021577e-04
1.183690311517024307e+00,1.344864098449149526e-03
1.191967866143017529e+00,1.250614458178042642e-04
1.200245420769010751e+00,7.414814819032740107e-04
1.208522975395003973e+00,1.019734572043479648e-03
1.216800530020997195e+00,5.882242882451317947e-04
1.225078084646990417e+00,6.332265530384006361e-04
1.233355639272983417e+00,4.882172955769482165e-04
1.241633193898976639e+00,1.331494064992951032e-03
1.249910748524969861e+00,1.333531335194916741e-03
1.258188303150963083e+00,7.510694549063165427e-04
1.266465857776956305e+00,5.378123808395362648e-04
1.274743412402949305e+00,1.550208333768184283e-03
1.283020967028942527e+00,8.804792206854573054e-04
1.291298521654935749e+00,2.744968618788441142e-04
1.299576076280928749e+00,1.608643731815751973e-03
1.307853630906921971e+00,1.908941017711141951e-03
1.316131185532915193e+00,4.312251662108167356e-04
1.324408740158908193e+00,7.966571063519985911e-04
1.332686294784901415e+00,5.863782850378191150e-04
1.340963849410894637e+00,6.092067932377830163e-04
1.349241404036887859e+00,9.241826190219514913e-04
1.357518958662881081e+00,8.415000292242969361e-04
1.365796513288874303e+00,3.905378355282356200e-04
